# {"env_id": "CarlaUrbanIntersection8425-v0", "t_start": 1583051686.1227748} 
r,l,t
146.364711,146,8.291792
0.914359,1,9.275982
120.326546,120,11.82633
0.915749,1,12.438467
153.551726,153,15.608421
0.881617,1,16.233428
106.283357,106,18.658248
0.918399,1,19.33306
140.461771,140,22.448855
0.891306,1,23.154798
110.333597,110,25.548822
0.912909,1,26.190103
87.172895,87,27.954101
0.940438,1,28.643763
192.729412,192,32.214216
58.056246,58,33.828049
0.946245,1,34.395424
110.229068,110,36.452438
0.932975,1,36.996966
129.376352,129,39.368248
0.917728,1,39.977915
151.364242,151,42.272593
0.922878,1,42.94929
214.772895,214,46.316554
0.878095,1,47.034469
162.488779,162,49.638999
74.154186,74,51.50578
0.938446,1,52.119096
93.11744,93,149.04512
0.942248,1,149.806928
155.479045,155,153.145769
0.888281,1,153.803166
291.495372,290,160.088018
57.060157,57,161.914669
0.938948,1,162.547522
117.367962,117,164.996532
0.907809,1,165.715976
78.120028,78,167.340522
0.946981,1,167.995323
136.469298,136,170.427958
0.906996,1,170.964935
203.713599,203,174.18075
0.878783,1,174.833168
109.20386,109,176.687643
0.940841,1,177.238971
105.19799,105,178.925811
0.94333,1,179.4814
109.184369,109,181.27947
0.942731,1,181.819599
549.951438,547,190.510365
133.45538,133,284.365515
0.891759,1,285.063846
116.323982,116,287.486687
0.913886,1,288.125258
70.100684,70,289.832254
0.945833,1,290.597517
275.481815,274,295.71006
121.525496,121,299.0338
52.018269,52,300.645377
0.94705,1,301.293394
88.197162,88,303.200996
0.934425,1,303.833891
168.594064,168,306.729101
0.890537,1,307.306887
153.463025,153,309.664789
0.911479,1,310.225293
190.724265,190,313.388796
0.878095,1,313.997161
324.619875,323,319.225855
158.612824,158,322.324466
0.878895,1,322.926043
122.304201,122,324.977685
0.927909,1,325.60137
218.960972,218,421.486591
0.878095,1,422.189468
115.372798,115,424.705988
0.905792,1,425.238963
482.525477,480,435.071651
59.09884,59,437.060087
0.932915,1,437.677146
110.250272,110,439.831807
0.928594,1,440.448104
144.506187,144,443.237286
45.033199,45,444.709197
0.952948,1,445.28487
331.730028,330,450.497054
88.160268,88,452.389785
0.934849,1,452.958929
470.502617,468,460.472452
169.684563,169,463.646846
0.878095,1,464.260248
233.310276,232,560.009509
148.582951,148,563.48082
219.199157,218,568.815813
211.217537,210,574.036837
239.35449,238,578.948589
297.587395,296,583.95824
293.545284,292,589.015974
285.538422,284,594.009258
258.288924,257,688.864699
111.391697,111,691.671299
0.889037,1,692.302648
114.347956,114,694.671812
0.91207,1,695.34996
132.414792,132,697.86566
0.907628,1,698.406164
92.185254,92,700.320742
0.937683,1,700.967139
245.334819,244,705.886982
208.208743,207,710.926924
257.442212,256,715.829521
119.380772,119,718.320447
0.907303,1,718.878979
130.419013,130,721.185142
0.91167,1,721.756172
170.635142,170,724.70593
0.880697,1,725.28083
183.71753,183,728.294545
0.878095,1,728.921217
165.57414,165,820.266371
0.887437,1,820.406942
99.225158,99,822.303003
0.935055,1,823.027983
116.327023,116,825.388088
0.915175,1,826.089231
281.515112,280,831.395382
150.760917,150,835.237966
43.007935,43,836.88169
0.948164,1,837.577607
258.409143,257,842.793226
224.304495,223,847.721529
288.537082,287,852.78339
132.408587,132,855.323256
0.904554,1,855.917192
312.614551,311,860.954292
126.408883,126,863.453361
0.903992,1,864.037427
252.456444,251,958.70628
219.261789,218,963.63547
132.579732,132,966.896322
286.645767,285,973.498487
107.456997,107,976.549245
0.878095,1,977.266118
248.376711,247,982.116845
290.663125,289,987.002241
253.462539,252,991.880424
98.309592,98,994.306856
0.913124,1,994.866772
222.016152,221,1086.180686
93.323247,93,1088.702598
0.90348,1,1089.391325
80.149937,80,1091.102271
0.942132,1,1091.72295
249.316241,248,1096.804095
34.023872,34,1098.42218
0.945446,1,1099.096053
79.205493,79,1100.957014
0.934144,1,1101.522832
549.388961,546,1113.02458
42.009862,42,1114.643957
0.94842,1,1115.332762
157.656597,157,1118.61345
75.097184,75,1120.359061
0.941563,1,1120.921628
420.470366,418,1127.728371
0.878095,1,1128.248365
264.393842,263,1219.530052
78.212047,78,1221.656427
0.922754,1,1222.405106
80.199507,80,1224.318676
0.931951,1,1224.878681
266.527345,265,1229.944263
60.125997,60,1232.048674
0.919999,1,1232.682006
61.102698,61,1234.310689
0.945641,1,1235.081869
252.402877,251,1240.000977
222.278071,221,1244.995489
124.527421,124,1248.110612
200.189072,199,1253.007052
71.192368,71,1255.220216
0.914711,1,1255.826409
77.167688,77,1257.633143
0.935831,1,1258.271665
129.377589,129,1260.389753
0.918713,1,1261.047443
287.584746,286,1265.746248
305.013647,303,1358.593567
189.19466,188,1363.206205
200.27228,199,1367.760349
187.230699,186,1372.30211
262.798853,261,1378.261824
204.256389,203,1382.897259
208.30716,207,1387.464218
209.323688,208,1392.063953
268.664422,267,1396.75905
152.641368,152,1439.20999
0.878095,1,1439.927762
193.992196,193,1443.930186
112.55909,112,1447.073757
58.128566,58,1449.251222
0.920278,1,1450.068743
80.154321,80,1451.805681
0.943897,1,1452.714903
201.194389,200,1457.281739
77.242896,77,1459.665746
0.905582,1,1460.311608
54.083455,54,1461.807934
0.94979,1,1462.44489
146.665585,146,1465.724513
189.219674,188,1470.167925
115.524689,115,1473.379466
52.08389,52,1475.300933
0.93311,1,1476.078002
97.211041,97,1477.93295
0.936493,1,1478.68011
244.377582,243,1482.989464
228.266129,227,1487.225009
199.076986,198,1533.082238
79.253675,79,1535.395748
0.910043,1,1536.057864
92.253049,92,1538.215739
0.926555,1,1538.899949
241.351039,240,1543.675635
51.046757,51,1545.515148
0.939025,1,1546.169261
92.183893,92,1547.998229
0.938637,1,1548.583781
89.204119,89,1550.401524
0.935871,1,1551.049358
112.419525,112,1553.538817
0.899687,1,1554.269674
124.388651,124,1556.671124
0.910365,1,1557.384866
78.169977,78,1559.171782
0.938189,1,1559.924819
122.490205,122,1562.438408
0.897442,1,1563.124542
94.271253,94,1565.232672
0.921169,1,1565.881705
139.482992,139,1568.209258
0.908571,1,1568.824151
183.687933,183,1571.505518
0.889116,1,1572.100108
121.34847,121,1574.161306
0.921723,1,1574.763535
118.324976,118,1576.748533
0.927405,1,1577.410662
144.499673,144,1579.98933
0.898651,1,1580.619461
221.070509,220,1626.398797
81.189575,81,1628.582818
0.922925,1,1629.213675
189.961428,189,1632.975777
168.854271,168,1636.97891
92.185905,92,1639.264887
0.928741,1,1639.907043
105.282707,105,1641.889109
0.928921,1,1642.507352
93.259975,93,1644.464251
0.927844,1,1645.198893
112.403699,112,1647.821563
0.905664,1,1648.966324
120.443446,120,1651.441971
0.897649,1,1652.190601
144.577158,144,1654.889948
0.886111,1,1655.619527
275.524018,274,1660.464801
249.385383,248,1665.191031
251.511577,250,1669.685483
90.259172,90,1715.504434
0.916432,1,1716.191447
199.17768,198,1720.791148
182.171801,181,1725.301229
