# {"t_start": 1582569544.4550478, "env_id": "MountainCarContinuous-v0"} 
r,l,t
-99.316825,999,1.449991
-105.366124,999,3.235683
-95.976143,999,25.839847
-90.750309,999,27.82292
-109.601932,999,46.396859
-103.211864,999,48.253151
6.031823,999,67.843121
-96.758881,999,69.693861
-105.470084,999,88.705811
-97.658702,999,90.577049
23.058039,829,108.93241
73.077671,331,109.739195
61.187411,406,110.641165
33.435051,727,112.054014
57.614903,474,127.711104
59.713608,406,128.615572
77.614335,261,129.271162
57.730516,455,130.224142
66.404572,368,131.024073
77.454365,259,145.189175
70.626743,395,146.026615
82.286267,213,146.673554
73.65951,349,147.440146
84.980154,190,147.988955
79.101826,307,148.697565
74.992337,348,149.497211
76.389349,287,164.876639
75.801732,289,165.554448
77.51685,269,166.220042
63.62756,400,167.061082
75.317622,271,167.686307
82.129947,254,168.317183
82.217047,198,168.88051
