# {"t_start": 1582694275.230028, "env_id": "MountainCarContinuous-v0"} 
r,l,t
-90.455521,999,5.999233
-105.616021,999,10.068856
-79.294165,999,65.881567
-94.232938,999,70.169503
-70.101784,999,116.069395
-73.985498,999,120.307537
-63.141691,999,205.507931
-62.421949,999,210.828743
-52.56736,999,270.923911
-54.762672,999,279.192886
-53.274957,999,349.978682
-46.068566,999,354.988453
67.452755,700,428.202255
-42.590037,999,433.507552
65.111879,820,499.345984
68.288487,779,506.209491
84.812442,392,509.664945
60.882317,943,576.700556
79.9159,527,579.371184
66.661088,864,583.931442
80.064463,496,651.200296
81.145714,444,653.59906
82.875955,416,655.695165
88.787438,320,657.345211
71.61884,727,661.069025
82.392038,424,718.731372
81.129299,522,723.296302
88.421916,327,726.147789
88.957236,331,729.044863
85.188647,461,732.946924
89.579165,255,769.267004
85.706119,384,771.412678
89.442254,335,773.182392
85.475723,468,775.542654
86.384061,414,777.767527
