# {"t_start": 1582792262.207367, "env_id": "HalfCheetah-v2"} 
r,l,t
-705.147593,1000,9.980611
-619.309036,1000,17.234869
-665.581493,1000,168.880804
-612.995145,1000,178.882488
-551.168402,1000,328.090482
-768.763073,1000,340.779508
-482.783273,1000,486.046911
-747.282385,1000,497.499512
-635.675548,1000,652.877873
-742.859153,1000,662.842978
-468.732112,1000,818.595796
-543.416245,1000,828.643022
-548.931291,1000,981.63596
-495.476549,1000,991.808665
-650.067494,1000,1146.899033
-452.159216,1000,1157.150117
-600.183792,1000,1303.983648
-515.911941,1000,1316.905372
-587.976582,1000,1464.385569
-483.81745,1000,1474.706273
-475.50751,1000,1631.853269
-448.755242,1000,1641.976422
-492.183898,1000,1736.477931
-541.48261,1000,1747.086754
-530.440655,1000,1831.382405
-461.248034,1000,1841.200672
-537.125495,1000,1934.115911
-425.194816,1000,1944.673204
-462.797531,1000,2027.259755
-465.715831,1000,2037.490443
-557.459777,1000,2131.060378
-311.942387,1000,2141.936703
-429.973948,1000,2224.394429
-463.118564,1000,2234.394543
-395.636424,1000,2327.220515
-396.761931,1000,2338.026813
-363.584246,1000,2419.398475
-441.717319,1000,2429.229893
-380.713664,1000,2520.702468
-341.148832,1000,2532.87088
-336.939403,1000,2615.738037
-392.170693,1000,2626.060125
-393.748896,1000,2636.431846
-392.918925,1000,2729.099353
-373.092508,1000,2739.713784
-289.370736,1000,2823.417159
-353.530621,1000,2833.816261
-273.501639,1000,2927.868868
-262.687555,1000,2938.447353
-258.014958,1000,3022.484198
-302.612356,1000,3032.399196
-336.703996,1000,3122.99777
-251.050322,1000,3135.026793
-272.625398,1000,3238.103199
-338.802844,1000,3248.315073
-316.478882,1000,3342.569598
-256.003393,1000,3352.825301
-228.452775,1000,3437.241589
-242.450577,1000,3447.150694
-241.213978,1000,3541.00829
-244.874913,1000,3551.528921
-219.514733,1000,3634.991073
-286.577509,1000,3645.692413
-232.484378,1000,3741.603791
-251.580965,1000,3752.285948
-219.130146,1000,3836.118554
-185.128908,1000,3846.231708
-181.172061,1000,3939.710042
-181.829995,1000,3950.520327
-156.06238,1000,4032.446031
-151.201954,1000,4042.602615
-136.36073,1000,4134.92432
-166.370227,1000,4146.761062
-170.028906,1000,4228.804108
-88.173803,1000,4238.344569
-76.55586,1000,4329.067474
-106.193841,1000,4341.746377
-129.650288,1000,4426.250197
-89.282921,1000,4436.800526
-61.68945,1000,4548.166186
-168.054157,1000,4562.081161
-18.862793,1000,4653.972766
-134.999243,1000,4663.630784
-81.776383,1000,4746.311821
-69.339303,1000,4756.972403
-64.362074,1000,4769.037489
23.108037,1000,4857.588
