# {"env_id": "HalfCheetah-v2", "t_start": 1582899377.4421363} 
r,l,t
-611.324653,1000,17.128357
-531.365324,1000,29.726346
-677.992045,1000,227.923451
-586.671439,1000,240.872187
-725.053868,1000,416.70063
-664.789157,1000,429.365369
-699.86037,1000,608.051182
-591.076467,1000,620.936656
-569.820715,1000,798.941074
-621.064397,1000,811.645763
-608.084508,1000,989.291787
-630.234238,1000,1001.963033
-639.153233,1000,1179.839311
-677.483396,1000,1192.648566
-507.88515,1000,1370.863179
-550.189619,1000,1383.821925
-636.700187,1000,1561.180734
-562.192538,1000,1573.888983
-711.075514,1000,1753.203289
-695.701835,1000,1766.0504
-678.524755,1000,1943.886628
-656.167725,1000,1956.725075
-634.268045,1000,2062.117253
-477.298879,1000,2074.806776
-778.037779,1000,2180.04456
-703.522019,1000,2192.740603
-656.648253,1000,2300.222888
-745.187807,1000,2313.021441
-681.004063,1000,2418.210298
-757.61237,1000,2431.107441
-766.763584,1000,2538.1757
-849.226184,1000,2551.342955
-1080.108227,1000,2655.850556
-1810.410039,1000,2669.009572
-3512.29766,1000,2774.22524
-4878.628894,1000,2786.953319
-3876.597236,1000,2891.389779
-10143.72256,1000,2904.056434
-7436.969092,1000,3009.680639
-3688.204516,1000,3022.524786
-5680.183507,1000,3127.832347
-10576.17755,1000,3140.575727
-9341.391441,1000,3153.386927
-8095.589698,1000,3257.142503
-11245.51514,1000,3269.840118
-6589.485225,1000,3372.93758
-6228.68348,1000,3385.611164
-3537.330573,1000,3490.345288
-13098.422402,1000,3503.308146
-9197.840075,1000,3607.211092
-8280.277612,1000,3619.866568
-11412.818796,1000,3724.085546
-12972.325264,1000,3736.813488
-7027.277828,1000,3862.00486
-5059.388744,1000,3874.774808
-16558.269164,1000,3978.712668
-21337.243939,1000,3991.339693
-21159.834258,1000,4095.076381
-21033.274568,1000,4107.691551
-20861.208155,1000,4213.037674
-20772.168905,1000,4225.751622
-20582.042491,1000,4329.862758
-20219.082872,1000,4342.80279
-20059.280649,1000,4446.775779
-20147.575239,1000,4459.641314
-19755.341382,1000,4563.719547
-19528.715859,1000,4576.63565
-19493.367387,1000,4681.63533
-19401.755693,1000,4694.270856
-19266.250804,1000,4797.819948
-19034.683377,1000,4810.438515
-18642.04556,1000,4914.401904
-18292.455774,1000,4926.60538
-18336.238306,1000,5031.003021
-18017.257651,1000,5043.739045
-17908.628576,1000,5148.676211
-17481.025992,1000,5161.090899
-17294.738156,1000,5264.197867
-17293.266752,1000,5276.750147
-17151.653393,1000,5379.696895
-16813.059449,1000,5392.093097
-16915.798541,1000,5484.183293
-16405.385031,1000,5494.936433
-16473.626039,1000,5587.639122
-16097.798458,1000,5599.027353
-16202.869411,1000,5610.898779
-15742.795275,1000,5703.499164
-15628.313818,1000,5714.865331
-14937.637826,1000,5806.798255
-14970.240834,1000,5818.48578
-14761.29738,1000,5912.803057
-14724.200958,1000,5924.383585
-14374.146164,1000,6018.44974
-14290.419823,1000,6030.031047
-13974.646157,1000,6124.333749
-14097.476616,1000,6135.739783
-13761.675059,1000,6227.699587
-13632.990238,1000,6239.032039
-13431.037367,1000,6331.907022
-13194.138296,1000,6343.180228
-13126.152931,1000,6436.035048
-13023.079663,1000,6448.129196
-12660.20038,1000,6540.187968
-12450.990798,1000,6551.703066
-12416.687809,1000,6666.840451
-12392.422357,1000,6678.475949
-12005.914941,1000,6772.934
-11965.974187,1000,6784.443169
-11903.031231,1000,6877.034982
-11728.977224,1000,6888.442384
-11712.57262,1000,6982.271461
-11624.532723,1000,6993.934924
-11481.177481,1000,7089.695938
-11228.990246,1000,7101.364455
-11040.310336,1000,7195.748428
-10793.374333,1000,7207.379863
-10583.126219,1000,7301.454731
-10395.796171,1000,7312.907749
-10403.766795,1000,7406.876011
-10044.654883,1000,7418.438432
-10108.995319,1000,7512.673146
-9679.002374,1000,7523.920425
-9637.128162,1000,7618.5979
-9085.478881,1000,7629.994028
-9109.872636,1000,7724.298783
-8220.304258,1000,7735.832792
-8726.29172,1000,7829.882516
-8328.465858,1000,7841.516921
-8345.564866,1000,7853.190558
-8141.790177,1000,7945.077644
-7687.413934,1000,7956.901772
-6681.359502,1000,8049.390548
-6548.925009,1000,8061.286745
-6338.936422,1000,8156.19887
-6327.620629,1000,8168.237214
-6477.199213,1000,8259.353114
-6699.7278,1000,8271.52443
-6834.624541,1000,8366.388582
-6352.598725,1000,8378.698604
-6540.467284,1000,8470.742775
-6959.371685,1000,8482.529246
-6895.477118,1000,8575.809312
-6367.081622,1000,8587.594298
-7554.61568,1000,8679.234063
-7346.401865,1000,8690.741623
-7684.591803,1000,8776.79356
-7592.611333,1000,8786.879237
-5820.287339,1000,8865.9925
-7163.924116,1000,8876.052135
-7067.266528,1000,8956.221827
-7012.125739,1000,8966.242001
-6927.272926,1000,9047.906182
-6734.399929,1000,9058.239881
-5910.794372,1000,9139.619816
-7042.797234,1000,9149.739926
-6917.853618,1000,9248.670036
-6631.442605,1000,9258.554708
-6734.498024,1000,9339.082171
-6721.005934,1000,9348.98361
-6301.932072,1000,9429.444466
-6071.497186,1000,9439.612078
-6510.522078,1000,9520.176882
-5888.335086,1000,9530.32426
-6636.025102,1000,9610.803555
-5808.661993,1000,9620.598096
-6106.860904,1000,9701.408542
-5965.519219,1000,9711.447065
-5760.023491,1000,9793.056145
-5917.91104,1000,9802.632304
-5894.226638,1000,9882.606847
-5623.241731,1000,9893.109685
-5324.536751,1000,9903.398396
-5112.893201,1000,9983.256207
-5190.189005,1000,9993.49667
-5600.982942,1000,10074.359679
-4847.918457,1000,10084.233075
-5780.984634,1000,10165.30066
-5067.902596,1000,10175.343102
-5682.455664,1000,10255.845482
-4996.460601,1000,10265.756592
-4501.945694,1000,10346.539642
-4364.897649,1000,10356.412047
-5786.852172,1000,10437.987116
-5084.61954,1000,10448.170306
-5923.507685,1000,10529.130598
-4607.208295,1000,10539.308919
-5626.734073,1000,10621.235744
-4736.122271,1000,10631.468719
-4947.234179,1000,10712.325167
-6005.209153,1000,10721.982939
-5800.35712,1000,10802.695786
-4523.006925,1000,10812.777695
-5706.873867,1000,10894.892015
-4265.049685,1000,10904.560583
-5491.108488,1000,10985.360889
-5371.90417,1000,10995.007048
-4061.57375,1000,11075.201636
-4910.235287,1000,11085.327608
-4988.059459,1000,11164.749119
-4631.382989,1000,11174.82236
-4793.402939,1000,11255.94416
-4792.898502,1000,11266.174258
-4719.173955,1000,11348.386379
-4785.753385,1000,11358.169346
-4726.703347,1000,11436.75475
-4520.947256,1000,11446.613717
-4459.624372,1000,11542.794595
-4450.00717,1000,11552.677966
-4185.507017,1000,11632.787338
-4109.127583,1000,11642.674615
-4280.660813,1000,11723.930201
-3964.884418,1000,11733.827706
-4014.079655,1000,11815.242241
-4133.339957,1000,11825.183591
-3795.633152,1000,11834.992878
-3434.657358,1000,11915.364938
-4269.911113,1000,11924.952163
-3562.879545,1000,12005.23216
-4833.387706,1000,12015.191012
-5592.875788,1000,12094.639935
-3713.709626,1000,12104.220512
-5328.243768,1000,12182.980637
-6417.239547,1000,12192.670643
-5720.323866,1000,12271.468741
-5099.892512,1000,12281.095158
-3312.710735,1000,12359.706555
-3288.349089,1000,12369.5636
-3775.162477,1000,12448.75067
-5659.980718,1000,12458.435169
-5000.310963,1000,12537.22539
-3660.361116,1000,12546.763868
-3825.291218,1000,12625.536168
-4728.430056,1000,12635.09762
-3981.173482,1000,12713.251823
-3797.327536,1000,12722.825783
-3477.606277,1000,12801.64948
-4887.334888,1000,12811.220124
-4927.620428,1000,12890.705611
-4968.2467,1000,12900.214308
-4505.29064,1000,12979.644026
-3808.229514,1000,12989.189008
-3178.450689,1000,13068.838404
-3078.944016,1000,13078.455173
-3255.690882,1000,13158.403681
-3237.785789,1000,13167.972235
-2967.14992,1000,13248.283376
-4030.362688,1000,13257.612612
-3722.4736,1000,13338.056842
-3627.51542,1000,13347.270201
-3466.825768,1000,13428.049816
-2722.472523,1000,13437.365669
-3762.228737,1000,13518.8622
-3557.858277,1000,13528.190066
-3152.007067,1000,13609.272597
-2896.248309,1000,13618.463611
-2819.79971,1000,13627.685378
-2530.636328,1000,13708.794375
-2384.804291,1000,13717.541899
-3080.462115,1000,13813.803325
-2492.355407,1000,13823.076325
-3057.092511,1000,13900.081825
-2285.980724,1000,13909.289456
-2169.799659,1000,13987.577824
-2192.589211,1000,13996.971427
-2275.457955,1000,14076.266807
-2834.082785,1000,14086.542693
-2220.672262,1000,14163.579785
-2736.992458,1000,14173.245951
-2565.269417,1000,14252.286126
-2529.498334,1000,14262.014416
-2444.847761,1000,14339.813989
-2580.915629,1000,14349.093102
-2354.115382,1000,14427.678106
-2342.880363,1000,14437.116256
-2263.480569,1000,14516.235872
-2065.971429,1000,14525.573291
-2107.882847,1000,14603.707587
-2052.2797,1000,14613.18929
-2036.964163,1000,14692.071025
-1974.302976,1000,14701.534614
-2141.807184,1000,14780.139364
-2036.336727,1000,14789.768437
-1742.49102,1000,14868.09647
-1973.552963,1000,14877.891396
-1865.029724,1000,14956.017823
-1799.069386,1000,14965.603078
-1785.654774,1000,15043.809276
-1719.12061,1000,15053.383242
