# {"env_id": "Hopper-v2", "t_start": 1582971912.1432471} 
r,l,t
45.15533,46,4.344189
23.596165,28,4.583761
14.010511,16,4.71962
7.27063,13,4.832106
10.231658,12,4.940947
7.336331,14,5.065511
7.907369,17,5.20559
7.502188,12,5.310716
9.357167,14,5.430571
26.291682,24,5.641625
11.270898,16,5.792463
20.643928,22,5.992637
7.7561,15,6.127861
8.334571,10,6.212531
3.121262,11,6.30705
11.899922,13,6.41093
12.104728,24,6.613843
14.038034,16,6.746986
12.614129,17,6.888742
11.609654,15,7.01138
9.035381,11,7.102144
5.28378,23,7.296388
7.932342,21,7.479679
35.035506,49,7.894103
13.334495,25,8.108322
26.871894,35,8.406075
8.527649,13,8.516211
9.46573,18,8.666067
8.258995,12,8.767286
9.1924,19,8.92915
28.659748,27,9.163262
7.218188,20,9.330228
47.335706,36,9.637502
17.774055,26,9.859421
20.624797,26,10.085594
9.231641,21,10.272487
43.241746,39,10.631847
7.81475,10,10.717566
14.189449,19,10.882908
7.830087,11,10.977143
13.129091,15,11.10684
7.579012,14,11.231306
5.702662,21,11.443025
12.200904,23,11.644357
8.969004,13,11.768651
11.034313,18,11.947177
5.318835,28,12.247243
10.808244,24,12.507814
10.598186,15,12.662613
8.260491,11,12.771866
7.894742,20,12.960818
6.738009,17,13.130486
7.587964,19,13.327156
7.124297,9,13.411779
15.3851,16,13.550036
8.469712,19,13.733121
5.294249,23,13.960222
16.389283,23,14.190773
6.517402,10,14.287182
5.601534,14,14.45339
16.575472,23,14.678594
12.597842,24,14.909915
10.170353,13,15.05515
7.771124,14,15.213506
4.361764,20,15.438032
8.479598,15,15.587371
7.567985,18,15.765657
38.937338,34,16.109558
28.992796,23,16.342494
5.940931,12,16.469819
7.489977,11,16.586804
20.825951,21,16.798653
16.188379,22,17.008535
11.719993,25,17.251345
5.516665,13,17.378999
21.692471,24,17.651104
23.726736,29,17.986984
20.738412,31,18.268011
22.172184,27,18.509131
7.085315,9,18.593175
10.742416,16,18.742265
6.810862,9,18.822867
4.562696,26,19.078179
28.690527,41,19.48903
4.589157,17,19.66076
7.601562,28,19.93261
100.959782,54,20.468758
29.129075,24,20.702585
50.265304,36,21.052893
2.251413,18,21.223965
7.388647,23,21.450107
12.791889,24,21.66536
9.726689,14,21.790284
23.995616,30,22.06633
10.107205,13,22.175465
18.056991,27,22.466415
9.058995,12,22.58303
13.50958,24,22.832391
6.495095,27,23.138194
6.630963,18,174.103079
10.776811,14,174.24981
6.151889,10,174.367927
5.93248,21,174.589704
6.518269,9,174.68776
9.299772,11,174.799695
8.680294,11,174.920757
4.943044,13,175.072737
6.385926,14,175.205266
11.472207,18,175.383175
10.973922,14,175.538366
21.827076,27,175.853829
8.572883,16,176.024645
7.241257,11,176.148211
5.630189,9,176.235696
6.930787,9,176.336744
15.962557,23,176.585739
4.656611,12,176.716905
11.021612,17,176.903201
10.890458,26,177.188456
19.364951,31,177.533599
8.175661,10,177.64307
9.574489,11,177.763623
8.665417,16,177.948264
54.783713,39,178.430833
11.62658,21,178.677422
9.289285,21,178.917471
9.858622,11,179.049479
6.476435,15,179.237875
5.607477,16,179.444537
6.360679,18,179.678853
16.984871,18,179.913296
10.337647,14,180.089096
12.348655,17,180.285021
10.028824,16,180.480017
15.055518,21,180.748464
10.811963,32,181.117361
4.737804,20,181.324791
17.683694,30,181.615685
6.690627,30,181.955905
7.549607,17,182.144171
5.817891,10,182.261788
5.055271,10,182.378418
5.56204,14,182.528833
4.905481,8,182.623845
9.16236,16,182.803701
15.388009,22,183.088755
16.757545,18,183.29326
14.973427,29,183.615621
5.151658,18,183.820703
11.451673,15,184.004856
11.473922,16,184.176567
8.620241,22,184.428962
5.734774,12,184.563253
6.340562,10,184.701725
9.845572,13,184.852379
11.818348,18,185.071678
5.639494,11,185.206247
5.064176,11,185.323045
16.701121,20,185.510449
7.302563,10,185.611992
6.064028,12,185.752712
6.990927,11,185.883626
5.887893,9,185.985715
7.498629,9,186.083327
10.039477,13,186.227209
12.336004,15,186.395665
9.743878,11,186.532479
8.848235,16,186.716541
18.065183,17,186.911209
6.46337,13,187.068162
39.81276,41,187.588325
19.092302,25,187.928512
9.537477,19,188.165683
5.888913,11,188.300328
9.528763,18,188.536703
70.170509,45,189.090262
7.009524,10,189.211257
12.838094,14,189.3678
6.419921,12,189.490331
8.5157,14,189.644778
8.216329,15,189.806244
10.027818,14,189.952359
13.669248,18,190.151363
36.945959,30,190.473422
14.123799,14,190.633518
10.878114,13,190.786229
8.81964,12,190.944473
21.824439,32,191.348982
10.334488,16,191.551974
15.383269,17,191.754811
4.536714,11,191.901374
11.754347,26,192.210236
8.889435,12,192.330259
8.740291,12,192.449461
8.339292,10,192.557206
16.373428,24,192.93584
12.124848,19,193.164014
24.327922,26,193.472477
8.794124,12,193.600051
35.779012,37,193.954918
9.389196,11,194.062134
10.232899,16,194.260362
10.780259,18,194.452867
17.642741,24,194.719605
26.352425,31,195.051965
7.585628,15,195.206521
9.277606,22,195.461126
6.640843,12,195.614543
7.719382,14,195.768452
6.905171,18,195.981864
8.434857,10,196.141608
7.185802,10,196.28863
9.81546,14,196.449682
4.549515,14,196.597657
6.261206,13,196.724153
32.936357,28,197.073232
5.983126,20,197.297808
6.154607,12,197.459771
9.825028,15,197.65932
9.142018,15,362.744806
9.527473,23,362.94577
7.979979,16,363.087444
4.296291,9,363.166123
6.625415,12,363.268971
6.389248,14,363.389729
6.367763,11,363.487288
12.686386,14,363.612605
12.792846,14,363.734249
7.191104,15,363.862352
12.461034,20,364.033381
6.82459,18,364.187794
9.188516,21,364.365408
17.866863,21,364.547318
8.363274,16,364.682631
9.084698,15,364.811968
3.956021,16,364.947906
3.895515,13,365.056553
5.872934,20,365.223461
6.578736,10,365.31324
19.28244,20,365.483415
7.794203,14,365.599283
8.154745,10,365.682433
6.115697,11,365.778064
6.24289,10,365.861635
9.370217,11,365.95384
12.812288,18,366.104424
6.804828,13,366.21889
4.722474,15,366.348659
17.52417,18,366.499433
6.567408,9,366.573946
3.399543,22,366.758888
8.276233,12,366.858361
8.588492,22,367.046283
8.495171,11,367.139649
9.91642,15,367.269425
4.370879,10,367.352251
5.649262,10,367.435872
2.930402,27,367.660542
6.051858,20,367.832933
5.78195,12,367.933093
10.599054,19,368.093981
7.030883,14,368.210949
6.978205,12,368.310478
7.490338,13,368.418565
6.185222,9,368.494149
4.465801,7,368.55258
11.640157,13,368.661287
4.67182,8,368.730186
8.078464,13,368.838999
6.603719,11,368.934322
4.949577,11,369.027459
5.238886,9,369.102603
8.444143,10,369.187415
8.291582,14,369.302928
3.36066,10,369.386859
8.46782,20,369.557195
28.284211,31,369.820076
7.36515,9,369.895833
12.043588,19,370.057856
7.438561,9,370.133423
7.707645,12,370.23617
7.674359,11,370.329874
7.371083,10,370.417199
9.75676,17,370.561625
14.58225,17,370.708499
8.390451,13,370.817939
6.783487,9,370.89519
6.435708,13,371.005184
9.601773,16,371.14182
6.634623,11,371.236444
5.654914,13,371.346083
9.734822,12,371.449564
5.828251,12,371.553534
7.534681,9,371.630424
8.364838,11,371.723545
6.98274,14,371.842
19.578588,20,372.011431
8.649681,21,372.193124
4.743347,25,372.408017
12.113234,17,372.551634
9.647881,22,372.738371
8.056287,13,372.848516
10.865262,19,373.014563
8.406096,11,373.108409
6.812793,10,373.196965
9.142708,12,373.298454
8.629962,15,373.424839
11.7471,17,373.566827
11.639653,18,373.71588
16.617195,21,373.892376
8.944732,15,374.020807
9.471339,20,374.188487
15.420322,26,374.404449
6.719462,10,374.485967
11.06342,14,374.603934
9.258422,12,374.703885
10.243479,14,374.821952
13.847346,20,374.990377
4.685025,8,375.056888
6.917981,20,375.224432
18.635508,19,375.382283
9.383717,11,375.475627
6.211455,15,375.599548
5.121971,13,375.711232
11.035289,16,375.844555
5.298146,9,375.919823
12.321995,16,376.053438
7.843221,10,376.136668
9.354081,14,376.253568
5.683123,8,376.322667
8.61755,17,376.464657
8.733942,15,376.590303
8.339133,12,376.688841
7.867103,10,376.773022
8.7466,13,376.88254
7.792447,10,376.965125
4.7057,19,377.129596
6.504232,9,377.209116
9.803446,13,377.318263
7.905049,11,377.41113
7.083055,13,377.520896
4.695286,10,377.605049
8.75828,13,377.714623
8.655421,12,377.818402
14.413858,16,377.955615
9.66208,13,378.064773
7.846101,12,378.165251
6.260571,9,378.240402
6.34465,9,378.314839
11.053493,16,378.447943
4.373107,8,378.513948
12.380565,15,378.639564
9.303646,16,378.778283
11.376374,16,378.917966
19.812548,24,379.117378
10.923312,17,379.25987
7.585616,14,379.374583
6.125207,15,379.498524
6.241838,17,379.641628
9.272125,12,379.744028
13.067452,14,379.864728
5.59391,9,379.939943
6.00004,10,507.900205
10.107213,15,508.119815
8.043943,11,508.264945
7.441345,11,508.39945
8.397787,11,508.52865
11.832946,13,508.669612
6.376323,8,508.759681
6.023075,8,508.854116
5.145413,9,508.953382
4.331693,8,509.061842
3.871391,12,509.23054
13.255886,15,509.418013
6.953579,9,509.528108
6.863201,12,509.698698
9.678828,26,510.049787
4.075653,9,510.161974
4.616656,11,510.310287
8.7611,10,510.428492
6.485124,10,510.554522
12.290175,13,510.703712
6.868562,14,510.878967
4.725508,19,511.138984
