# {"t_start": 1583034220.150134, "env_id": "Hopper-v2"} 
r,l,t
8.855848,12,3.431681
15.535548,20,3.614944
15.503226,19,3.778256
8.875664,12,3.885653
27.649019,37,4.208821
11.721784,19,4.354034
13.667605,15,4.478424
6.24705,8,4.551502
10.272095,12,4.659306
34.312374,32,4.941153
17.279294,27,5.168825
6.452787,11,5.26921
8.625418,11,5.366733
11.243538,14,5.489583
9.697955,15,5.602848
6.793238,9,5.68658
8.763267,11,5.783163
10.373221,12,5.898974
6.562373,8,5.986583
24.347786,35,6.298782
7.244651,9,6.361889
13.04376,15,6.510536
7.423489,9,6.591682
6.781403,12,6.687696
8.045843,10,6.782805
10.781115,13,6.886012
11.695056,15,7.031952
10.627081,31,7.30223
11.628085,14,7.407925
6.051512,10,7.508899
86.473378,55,7.995265
9.402457,12,8.102076
19.226642,24,8.317268
16.110214,16,8.449862
13.403219,14,8.579126
24.425099,21,8.758869
6.126751,10,8.853613
11.996962,18,8.996262
77.10186,48,9.386248
7.125693,9,9.466105
21.324757,19,9.631474
4.645114,17,9.793877
6.131314,9,9.871893
10.804943,13,9.990771
11.562087,33,10.256806
8.397645,11,10.339751
13.472375,18,10.475682
27.65717,34,10.749171
5.52445,11,10.835973
6.369195,12,10.939515
50.479307,39,11.304837
7.969308,10,11.386022
10.11837,16,11.529456
5.561098,9,11.613118
8.000066,12,11.728512
18.400504,19,11.909285
22.379328,22,12.092699
17.661073,20,12.264768
5.051948,9,12.331274
8.066356,13,12.427736
8.481589,12,12.533693
77.086152,47,12.928078
6.501204,11,13.017839
10.260316,13,13.115674
27.421741,23,13.30171
11.357959,23,13.481973
9.458038,11,13.569859
11.190634,14,13.697612
16.04515,24,13.894266
6.247759,12,13.990925
11.236601,29,14.228737
6.281893,12,14.329132
9.174159,13,14.43562
9.295704,14,14.550458
18.225819,22,14.716271
10.327011,15,14.852882
20.382197,26,15.09282
10.056152,12,15.200394
11.276325,14,15.327772
9.618482,12,15.425241
27.641406,23,15.594289
8.215045,12,15.693316
89.788169,56,16.178984
5.248702,13,16.289171
59.854996,48,16.735767
35.842951,31,17.014342
6.069133,13,17.128668
11.427433,13,17.235018
10.833313,13,17.345455
19.997278,18,17.501785
8.692611,11,17.590023
90.439533,81,18.249901
4.415328,8,18.3172
5.955146,12,18.41447
11.146303,14,18.522635
56.274627,41,18.863054
9.111121,12,18.954437
17.925426,19,19.11205
30.891725,27,19.333215
9.316293,12,19.424557
18.464562,26,19.645909
18.29368,23,19.821492
70.439548,45,20.184287
25.986599,24,20.385343
17.408753,18,20.552469
9.039136,14,20.664032
8.911809,11,20.753546
6.760822,15,97.113374
76.390854,45,97.331788
83.164183,51,97.570733
135.359201,68,97.868771
12.34464,16,97.93784
13.425414,19,98.026002
7.858145,11,98.07485
17.338521,18,98.154351
9.324018,11,98.20254
7.074377,9,98.242147
5.03054,7,98.273199
54.975824,60,98.533446
9.741891,12,98.584723
216.701426,101,99.121464
19.978383,22,99.221388
13.719721,23,99.325958
13.096008,15,99.395252
49.354996,30,99.528183
6.423288,8,99.565007
19.646827,19,99.659122
104.487768,62,99.944541
46.620576,46,100.14693
11.984204,25,100.269041
14.929196,17,100.348344
75.483744,49,100.563184
10.807474,15,100.631092
34.415356,29,100.763153
29.040496,29,100.912662
12.427659,13,100.987741
31.488602,25,101.114651
19.945506,17,101.204118
13.670318,28,101.358697
11.745214,14,101.425845
48.714921,37,101.604798
15.581381,17,101.683059
60.708087,37,101.847524
24.596983,22,101.947273
5.654407,10,101.991394
8.03268,10,102.041235
67.132732,40,102.219023
11.128447,13,102.280656
8.199458,18,102.365885
9.466785,12,102.42295
9.999883,15,102.494805
26.361922,31,102.636755
12.129691,15,102.705691
105.273838,62,102.998512
7.858941,21,103.09511
10.463472,14,103.159603
30.370921,48,103.383301
9.790277,12,103.438125
7.710849,13,103.495036
11.852245,18,103.573793
15.046343,16,103.645906
62.003087,51,103.874959
5.917345,10,103.918406
12.986184,14,103.981813
19.834767,19,104.0662
55.803101,34,104.219543
40.151341,31,104.354654
10.483089,15,104.420962
38.925567,32,104.566263
87.368797,78,104.917203
16.817764,19,105.006131
10.851985,13,105.063932
7.507908,10,105.11045
19.664034,24,105.223424
11.314552,19,105.307407
25.271524,22,105.407862
24.10154,22,105.508826
15.493819,15,105.577863
24.749619,22,105.677533
23.508905,23,105.787182
25.621387,23,105.890796
128.734017,65,106.177247
5.842343,12,106.233671
18.16042,17,106.310273
85.718994,49,106.532942
93.496776,67,190.132056
10.127976,12,190.185371
65.066091,47,190.395957
24.449744,28,190.5191
12.689044,18,190.598214
6.575227,10,190.642191
6.104292,10,190.686323
131.955617,69,190.98965
8.980358,12,191.044067
9.743903,12,191.096614
9.348288,12,191.149316
69.298481,49,191.367522
128.948548,67,191.663669
22.044792,23,191.765534
67.257637,42,191.949648
77.931328,48,192.166398
14.815005,18,192.246002
74.771844,44,192.439162
8.898676,11,192.48721
74.583569,49,192.705585
64.269671,46,192.908588
8.20288,20,193.001118
9.202883,12,193.057332
11.333376,18,193.137045
14.035976,16,193.207335
159.766132,89,193.630083
83.314571,53,193.900218
69.815531,43,194.142964
34.438663,37,194.33612
62.956695,37,194.522455
7.825346,24,194.627328
32.573387,37,194.789453
84.152172,59,195.052649
93.52322,57,195.301288
79.07441,48,195.514899
129.883606,66,195.807249
91.081138,54,196.048083
92.408443,52,196.277728
17.043312,22,196.374205
50.526486,53,196.607982
50.204981,41,196.790181
53.493293,33,196.935878
13.817697,16,197.0067
25.471497,24,197.11428
